종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
466910,엔에이치스팩30호,KOSDAQ,SPAC(소속부없음),2015,-5,-0.25,2030,2030,2005,48463,97505635,18336500000,9100000
265740,엔에프씨,KOSDAQ,중견기업부,8220,-30,-0.36,8250,8450,8220,6161,50853840,73419396000,8931800
354200,엔젠바이오,KOSDAQ,기술성장기업부,4625,310,7.18,4330,4890,4320,142710,662063760,59612674875,12889227
419080,엔젯,KOSDAQ,기술성장기업부,13020,-480,-3.56,13360,13370,12930,57271,746419260,136941977340,10517817
093510,엔지브이아이,KONEX,일반기업부,1894,245,14.86,1894,1894,1894,1,1894,11401880000,6020000
208860,엔지스테크널러지,KOSDAQ,투자주의환기종목(소속부없음),2205,0,0.0,0,0,0,0,0,25233717915,11443863
183490,엔지켐생명과학,KOSDAQ,기술성장기업부,1642,34,2.11,1639,1678,1607,187330,309623587,139677652804,85065562
085310,엔케이,KOSPI,,906,5,0.55,901,908,895,96552,87167759,72464916912,79983352
182400,엔케이맥스,KOSDAQ,기술성장기업부,2025,-95,-4.48,2075,2215,1993,2942091,6119082516,173175632775,85518831
348370,엔켐,KOSDAQ,벤처기업부,263000,39000,17.41,222000,278000,222000,2344732,604407035000,4567274306000,17366062
058450,엔터파트너즈,KOSDAQ,중견기업부,3005,-90,-2.91,3095,3150,2915,33539,102048540,34697593100,11546620
069410,엔텔스,KOSDAQ,벤처기업부,5140,-20,-0.39,5100,5230,5080,53988,277589890,52658395360,10244824
227950,엔투텍,KOSDAQ,중견기업부,780,-40,-4.88,820,820,754,1780047,1399752101,80788913400,103575530
291230,엔피,KOSDAQ,중견기업부,3050,-50,-1.61,3055,3145,3030,282594,868863030,134454348650,44083393
198080,엔피디,KOSDAQ,중견기업부,2535,-70,-2.69,2600,2630,2520,242284,622391520,54591693975,21535185
048830,엔피케이,KOSDAQ,중견기업부,1754,-6,-0.34,1760,1760,1731,22825,39981090,32841760942,18723923
096870,엘디티,KOSDAQ,벤처기업부,2810,-5,-0.18,2810,2825,2780,25816,72431330,18766304000,6678400
276240,엘리비젼,KONEX,일반기업부,711,92,14.86,711,711,711,1,711,5725781118,8053138
900140,엘브이엠씨홀딩스,KOSPI,,2920,10,0.34,2905,2975,2875,1561871,4572320570,501038160120,171588411
